,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,okhotsk,59.3833,143.3,56.39,93,93,7.99,RU,1627139312
352,nkoteng,4.5167,12.0333,77.43,79,51,5.53,CM,1627139313
353,ponta do sol,38.7333,-28.2667,74.08,92,16,13.82,PT,1627139313
354,sardarshahr,28.4333,74.4833,96.39,47,94,7.23,IN,1627139313
355,san bartolome de tirajana,13.3034,-4.8956,95.85,35,55,8.99,ML,1627139167
356,tanabe,33.7333,135.3667,77.94,78,59,1.01,JP,1627139314
357,vestmannaeyjar,63.4427,-20.2734,54.59,94,90,14.97,IS,1627139137
358,mercedes,-34.6515,-59.4307,59.04,70,100,13.96,AR,1627139314
359,kampot,10.6167,104.1833,84.25,78,100,14.61,KH,1627139314
360,namibe,-15.1961,12.1522,74.52,55,0,7.61,AO,1627139116
361,sambava,-14.2667,50.1667,72.91,74,6,18.79,MG,1627139314
362,peniche,39.3558,-9.3811,78.62,77,1,12.21,PT,1627139315
363,haveri,14.8,75.4,73.69,87,99,13.4,IN,1627139315
364,locri,38.2414,16.2623,89.51,53,0,6.35,IT,1627139315
365,kaihua,23.3687,104.28,68.27,89,100,1.83,CN,1627139316
366,faya,18.3851,42.4509,79.32,44,87,6.04,SA,1627139316
